text,term.freq
macdonald,23
bell's,1
cor-er's,1
wednesday,36
ilv,1
hich,11
cattle,68
taken,137
ibritain,1
ireland,29
faults,2
sabbath,1
school,237
association,127
excitement,8
taries,1
delay,13
secure,31
glassware,1
hardware,13
tinware,2
attaching,1
having,124
promised,6
wa]k,1
shanty,2
bed,20
bourke,1
liaro,1
written,28
native,42
yesterday,8
glorious,9
juries,2
internal,5
charact,1
resided,11
churches,6
tilled,4
tmmit,1
mit,5
ltniugi,1
cour,1
whitlng,1
addrebb,1
lltctii,1
box,50
beat,20
ahe,7
amuse,5
eaped,1
dieoovrry,1
concealed,1
fall,58
predicted,8
detective,5
worn,9
brothers,14
mother's,2
guilt,2
fled,2
remained,14
captivts,1
whit,4
hirer,1
tlurd,1
ae.ssion,1
rh*cl,1
vvvnu,1
prepossessing,2
speaker,19
hfth,2
uvl,2
wllj,2
vm*v,1
delivery,13
gifted,1
tiov.-tiencral,1
cieill,1
tll,3
tuned,1
scored,5
nqa*smg,1
ceremonies,6
ulte,1
llctttt,1
maiden,2
effort,75
tendance,1
occasion,28
wnnend,1
sircharlestupper,1
ucccsÂ«or,1
weather,46
oemg,1
clear,33
w.m.s,1
vont,1
smbt-aceing,1
"s.,vvvh",1
seconding,1
speak-before,1
stall,5
hig,2
deliberately,6
easy,31
pail,7
lament,3
building,91
tinc(lv,1
eaid,1
detachment,4
sulllv,1
vxeellent,1
iiits,1
neat-uovernor,1
hoot,2
uaids,1
vulltr;lstvd,1
members,84
dragoons,1
escorted,2
iw\x,1
senate,16
cakei,1
ettjm,1
the,1
rgont,1
representations,6
liardly,1
expected,60
board's,11
towns,31
ithin,4
foundation,20
inasmuch,6
tor,54
ies,4
played,14
devil,3
exists,11
liberals,22
neatly,4
turning,18
adyan,1
intimation,2
franchise,8
youth,14
honors,11
head,157
larged,1
session,82
represented,30
varions,3
manufactures,7
produc,5
deftly,1
shafts,3
writer's,7
author,18
wide,36
gkeorgie,1
fraserj,1
lespcrance,1
presents,7
elegant,4
historical,4
facts,13
relation,11
deep,12
canadians,133
critically,1
treats,1
poets,2
pa.st,134
discourses,1
charming,5
style,11
literary,7
defray,3
coet,2
freigb,1
conveying,2
exhibits,10
antwerp,6
returning,16
bold,11
usa:canada,54
thond,43
correspondent,13
dtafferin,1
witnessed,12
battles,2
tel-el-kebir,1
tob,2
tamai,1
named,26
hoping,6
surprise,9
"enemy,left",1
abou,1
klea,1
wells,9
afternoon,25
marched,2
sighting,1
river,77
daybreak,1
chi'daey,1
topa,1
ciment,1
lining,3
anxiou,1
ieving,1
bonus,8
tobhnnt-y,1
c'en,1
vat,2
llntags,1
cos,4
ors,2
k.ag-atreet,1
etcioi,1
itamp,1
trohlko,1
"i""""tn",1
spontaneous,1
generation,11
writer,23
endowed,2
immortality,1
subdivided,1
parts,131
mwer,1
repeating,1
sanie,1
oiicration,1
diminishing,4
vitality,5
illustra,1
tiens,6
reproducing,1
mcketi-letter,1
belongs,7
judge,23
certain,88
vives,2
disposed,8
depriving,1
hÂ»w,1
plica,1
serve,26
saint,6
probably,55
mckenna,1
discarded,3
unworthy,2
contests,1
dodd's,3
form,97
argument,15
deserve,3
tent,10
ion,53
especially,75
hopes,12
credit,37
testing,14
flag,19
invasion,12
territory,37
afghan,1
floating,2
istan,1
pretence,1
military,52
loyalty,13
lose,15
magnetewan,1
beautiful,33
rond,2
catalogue,39
narrow,5
durwssi,1
pass,19
tuig-etieet,1
steloee,1
co-operative,4
denominations,2
deserves,8
immigrants,13
strange,10
consisted,7
liberal,61
simply,21
sport,18
confer,4
suffrage,2
indians,18
requisite,1
qualification,3
aii,1
based,23
t.ie,2
press,31
fciation,1
publishes,3
obtained,38
reliable,23
source,30
aylward,1
notorious,4
boer,4
rebellion,4
warn,21
extremely,12
reticent,1
sliarp,1
side,50
fortnight,2
describing,8
surgeon-dentist,1
carefully,20
avoided,2
haunts,1
ignoring,2
fenian,5
informant,2
aly,2
ward's,1
visit,60
connected,12
riel,4
furthering,1
movement,35
french,90
separation,7
groat,7
encourages,2
directly,18
organized,15
emigration,6
intrigue,2
loyal,13
expriment,1
accustom,1
french-canadians,2
distinct,12
race,24
middle,19
march,69
minn,2
officers,23
republican,1
brotherhood,3
westward,6
includingcapt,1
manager,48
transport,18
service,318
expedition,10
battleford,3
swift-current,1
despatches,6
gratifying,10
hear,29
son's,21
rendering,3
signal,3
hour,47
traitor,5
solicitation,1
archbishop,5
tache,2
continued,44
cross-tire,1
tfrv,1
sympathizers,2
Ã¯'told,1
wrong,7
asking,12
leave,46
consequences,4
pounds,105
iÂ«y,1
fenians,1
damages,6
assurance,53
stayed,6
elections,7
ame,3
provenchor,1
doored,1
outlaw,1
banished,2
nearer,8
parapet,2
farther,5
apect,1
carmichael,1
waa,17
cascade,2
mountain,23
exclusively,15
illustrating,4
aworn,1
handsomest,5
pa-sed,1
stupendous,1
elevation,5
rock,15
book,61
compiled,11
juat,3
protect,20
dumb,4
horror,3
saw,54
deriving,1
email,7
stream,9
eyes,27
parted,2
lips,8
cressida,1
bandeomeat,1
oozee,1
mise,5
alger,1
boston,16
owed,3
d.Â«y,1
ar-d,3
trrcxed,1
admit,11
aee,1
leaps,3
cascades,1
visitor,8
associated,13
shah,2
listen,6
dearest,1
beet,20
abrupt,1
ledge,1
reaching,14
charities,1
finds,19
drunkenness,2
ahall,2
reaaon,1
adds,6
level,17
loses,4
ita,3
identity,3
waters,17
italians,2
greatest,107
fastidious-lather,1
oler,1
catching,2
considÃ©rable,1
devil's,1
creek,6
ness,27
coupled,3
economy,30
passers-by,1
stare,2
cur,7
quietly,6
joined,15
opium,1
san,10
hlning,1
lonely,5
bewildered,1
heaven,3
cisco,1
coinage,5
system,96
daring,8
l'est,9
coins,4
track,17
mint,6
leas,4
thirty-four,2
different,55
kinds,37
addition,49
pieces,10
provide,48
silver,29
cents,79
kong,3
bronze,6
cent,255
plasters,1
cyprus,2
nickel,13
pence,3
farthings,1
jamaica,3
farthinps,1
matte,2
mauritius,2
bronae,1
curious,14
pennies,4
half,100
use,148
comprise,2
maundy,2
parish,5
monday,38
origin,7
comprised,4
worth,71
four-pennies,1
canada:england,34
directors,37
suggestions,13
givlngupthe,1
substituting,2
convenient,19
compute,3
currency,9
knowledge,29
required,61
tenfold,1
ratio,4
decimal,1
results,44
prevents,3
mistakes,2
state,93
assy,2
moe,2
difficult,28
ose,2
forming,7
cun,1
g.iveiuuient,1
furnish,16
rade,3
"sect,ou",1
inieiw,1
iic,1
north-west,4
commeice,1
ship;dug,1
cinada,2
omog,1
avo,3
destroyed,14
tupper,4
presided,6
ddive,1
llvv,1
unable,27
crops,46
lengthy,5
wim,2
msequeuce,1
mucli,1
applauded,1
dwelt,1
l)t,2
"med,maid",1
tide,4
attention,78
directed,8
i'll,3
stated,57
defended,3
msiver,1
tile,9
gentleman,10
un-ditied,1
protection,43
iid,2
mtoiiti,1
enuoent,1
can-n,1
accent,3
resolutions,7
urn,9
unjust,3
uondem,1
nnt:on,1
action,42
eminent,11
expressing,9
robust,6
health,86
feeding,18
canada:italy,4
italy,5
sending,21
canned,17
oysters,1
moan,1
retaliate,1
organ-grinders,1
sirs,2
whilst,16
absurd,3
theories,7
teni,1
h*ranco,1
mean's,108
prevention,5
"drunkenness,never",1
touch,18
works,47
renfrew,30
stories,24
ruin,7
committed,15
rum,3
laugh,6
incredulity,1
closly,1
identified,7
ruined,3
fresh,21
forth,24
ers,12
mercury,4
youthful,6
crank,7
whiskey,2
working,44
worse,9
highly,35
estimable,2
clergymen,5
acquainted,6
stand,50
curse,3
driven,10
ashamed,1
bar-room,1
recourse,2
drain,4
low,65
shebeens,1
loves,1
stolen,4
consequently,8
conceives,1
adventure,10
procure,2
liquor,13
despite,14
law,75
romance,7
captivat,1
qneuves,1
care,50
drinking,2
seek,18
secluded,2
retreats,2
indulge,1
mown,1
thrust,4
